# apollo 2025-06-24 21:10
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules:
# numba           0.61.2
# cython          3.1.2
# numpy           2.2.6
# scipy           1.15.3
# sklearn         1.7.0
# pykdtree        1.4.1*
#
# R packages:
# RANN            2.6.2*
# nabor           0.5.0*
# dbscan          1.2.2*
# mlpack          4.6.2*
# reticulate     1.42.0*
#
# Other:
# pico_tree       1.0.0*
#
# * - compiled with -O3 -march=native
#
"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time","host"
"r_genieclust_kdtree",0.465,0.00600000000000001,0.472000000000001,0,631100.003215224,0,1208592,0,1,1,1750794613,"apollo"
"pico_tree",0.5,0.00600000000000001,0.505999999999998,0,631100.003215224,4,1208592,0,1,1,1750794613,"apollo"
"py_genieclust_kdtree",0.484999999999999,0,0.484000000000002,0,631100.003215224,0,1208592,0,1,1,1750794613,"apollo"
"py_pykdtree",0.617,0.00900000000000001,0.625999999999999,0,631100.003215224,6,1208592,0,1,1,1750794613,"apollo"
"py_sklearn_kdtree",2.177,0.00599999999999998,2.182,0,631100.003215224,7,1208592,0,1,1,1750794613,"apollo"
"r_dbscan",1.54,0.016,1.556,0,631100.003215224,4,1208592,0,1,1,1750794613,"apollo"
"r_mlpack_kdtree_single",1.277,0.005,1.282,0,631100.003215224,4,1208592,0,1,1,1750794613,"apollo"
"r_mlpack_kdtree_dual",0.867000000000001,0.00899999999999998,0.875,0,631100.003215224,4,1208592,0,1,1,1750794613,"apollo"
"r_nabor",0.702,0.012,0.713999999999999,0,631100.003215224,8,1208592,0,1,1,1750794613,"apollo"
"r_rann_kdtree",1.135,0.025,1.16,0,631100.003215224,5,1208592,0,1,1,1750794613,"apollo"
"r_genieclust_kdtree",0.462999999999999,0,0.462999999999997,0,631100.003215224,0,1208592,0,1,1,1750794623,"apollo"
"pico_tree",0.509,0,0.509,0,631100.003215224,4,1208592,0,1,1,1750794623,"apollo"
"py_genieclust_kdtree",0.483000000000001,0,0.483000000000001,0,631100.003215224,0,1208592,0,1,1,1750794623,"apollo"
"py_pykdtree",0.610000000000003,0,0.609999999999999,0,631100.003215224,6,1208592,0,1,1,1750794623,"apollo"
"py_sklearn_kdtree",2.14,0,2.14,0,631100.003215224,7,1208592,0,1,1,1750794623,"apollo"
"r_dbscan",1.529,0.013,1.541,0,631100.003215224,4,1208592,0,1,1,1750794623,"apollo"
"r_mlpack_kdtree_single",1.269,0.011,1.279,0,631100.003215224,4,1208592,0,1,1,1750794623,"apollo"
"r_mlpack_kdtree_dual",0.868000000000002,0,0.868000000000002,0,631100.003215224,4,1208592,0,1,1,1750794623,"apollo"
"r_nabor",0.706999999999997,0.004,0.710000000000001,0,631100.003215224,8,1208592,0,1,1,1750794623,"apollo"
"r_rann_kdtree",1.213,0.019,1.232,0,631100.003215224,5,1208592,0,1,1,1750794623,"apollo"
"r_genieclust_kdtree",0.460000000000001,0,0.460000000000001,0,631100.003215224,0,1208592,0,1,1,1750794634,"apollo"
"pico_tree",0.490000000000002,0,0.490000000000002,0,631100.003215224,4,1208592,0,1,1,1750794634,"apollo"
"py_genieclust_kdtree",0.481000000000002,0,0.480000000000004,0,631100.003215224,0,1208592,0,1,1,1750794634,"apollo"
"py_pykdtree",0.610999999999997,0,0.610999999999997,0,631100.003215224,6,1208592,0,1,1,1750794634,"apollo"
"py_sklearn_kdtree",2.136,0,2.136,0,631100.003215224,7,1208592,0,1,1,1750794634,"apollo"
"r_dbscan",1.515,0,1.515,0,631100.003215224,4,1208592,0,1,1,1750794634,"apollo"
"r_mlpack_kdtree_single",1.265,0.017,1.281,0,631100.003215224,4,1208592,0,1,1,1750794634,"apollo"
"r_mlpack_kdtree_dual",0.866,0,0.865000000000002,0,631100.003215224,4,1208592,0,1,1,1750794634,"apollo"
"r_nabor",0.698999999999998,0.00499999999999995,0.704000000000001,0,631100.003215224,8,1208592,0,1,1,1750794634,"apollo"
"r_rann_kdtree",1.20500000000001,0.00800000000000001,1.212,0,631100.003215224,5,1208592,0,1,1,1750794634,"apollo"
"r_genieclust_kdtree",0.629,0.005,0.215,0,631100.003215224,0,1208592,0,1,8,1750794925,"apollo"
"pico_tree",0.637,0.005,0.215,0,631100.003215224,4,1208592,0,1,8,1750794925,"apollo"
"py_genieclust_kdtree",0.647,0,0.206999999999999,0,631100.003215224,0,1208592,0,1,8,1750794925,"apollo"
"py_pykdtree",0.931999999999999,0.01,0.235999999999999,0,631100.003215224,6,1208592,0,1,8,1750794925,"apollo"
"py_sklearn_kdtree",12.236,0.025,2.341,0,631100.003215224,7,1208592,0,1,8,1750794925,"apollo"
"r_genieclust_kdtree",0.634,0.00499999999999998,0.211,0,631100.003215224,0,1208592,0,1,8,1750794929,"apollo"
"pico_tree",0.651,0.003,0.227999999999998,0,631100.003215224,4,1208592,0,1,8,1750794929,"apollo"
"py_genieclust_kdtree",0.647000000000002,0,0.204000000000001,0,631100.003215224,0,1208592,0,1,8,1750794929,"apollo"
"py_pykdtree",0.952999999999999,0.00700000000000001,0.227,0,631100.003215224,6,1208592,0,1,8,1750794929,"apollo"
"py_sklearn_kdtree",16.067,0.00800000000000001,2.958,0,631100.003215224,7,1208592,0,1,8,1750794929,"apollo"
"r_genieclust_kdtree",0.616,0.00600000000000001,0.207999999999998,0,631100.003215224,0,1208592,0,1,8,1750794934,"apollo"
"pico_tree",0.634,0.002,0.212,0,631100.003215224,4,1208592,0,1,8,1750794934,"apollo"
"py_genieclust_kdtree",0.623999999999995,0,0.198,0,631100.003215224,0,1208592,0,1,8,1750794934,"apollo"
"py_pykdtree",0.924999999999997,0.00600000000000001,0.226000000000003,0,631100.003215224,6,1208592,0,1,8,1750794934,"apollo"
"py_sklearn_kdtree",16.215,0.001,2.955,0,631100.003215224,7,1208592,0,1,8,1750794934,"apollo"
"r_genieclust_kdtree",1.445,0.026,0.406000000000002,0,11055031.7490957,0,1208592,0,10,8,1750794941,"apollo"
"pico_tree",1.552,0.031,0.474,0,11055031.7490957,49,1208592,0,10,8,1750794941,"apollo"
"py_genieclust_kdtree",1.616,0.119,0.619,0,11055031.7490957,0,1208592,0,10,8,1750794941,"apollo"
"py_pykdtree",2.252,0.09,0.749000000000002,0,11055031.7490957,47,1208592,0,10,8,1750794941,"apollo"
"py_sklearn_kdtree",23.46,0.14,4.408,0,11055031.7490957,52,1208592,0,10,8,1750794941,"apollo"
"r_genieclust_kdtree",1.452,0.0219999999999999,0.394000000000002,0,11055031.7490957,0,1208592,0,10,8,1750794948,"apollo"
"pico_tree",1.49499999999999,0.03,0.394999999999996,0,11055031.7490957,49,1208592,0,10,8,1750794948,"apollo"
"py_genieclust_kdtree",1.542,0.12,0.527000000000001,0,11055031.7490957,0,1208592,0,10,8,1750794948,"apollo"
"py_pykdtree",2.21799999999999,0.103,0.749000000000002,0,11055031.7490957,47,1208592,0,10,8,1750794948,"apollo"
"py_sklearn_kdtree",23.751,0.0870000000000001,4.42,0,11055031.7490957,52,1208592,0,10,8,1750794948,"apollo"
"r_genieclust_kdtree",1.438,0.0229999999999999,0.408999999999999,0,11055031.7490957,0,1208592,0,10,8,1750794956,"apollo"
"pico_tree",1.474,0.03,0.390999999999998,0,11055031.7490957,49,1208592,0,10,8,1750794956,"apollo"
"py_genieclust_kdtree",1.551,0.102,0.545999999999999,0,11055031.7490957,0,1208592,0,10,8,1750794956,"apollo"
"py_pykdtree",2.232,0.0919999999999999,0.747,0,11055031.7490957,47,1208592,0,10,8,1750794956,"apollo"
"py_sklearn_kdtree",24.386,0.097,4.439,0,11055031.7490957,52,1208592,0,10,8,1750794956,"apollo"
"r_genieclust_kdtree",0.782,0.003,0.270000000000001,0,28894.6508200247,0,1208592,3,1,8,1750795012,"apollo"
"pico_tree",3.511,0.002,0.648,0,28894.6508200247,0,1208592,3,1,8,1750795012,"apollo"
"py_genieclust_kdtree",0.822,0,0.269,0,28894.6508200247,0,1208592,3,1,8,1750795012,"apollo"
"py_pykdtree",4.857,0.00900000000000001,0.85,0,28894.6508200247,0,1208592,3,1,8,1750795012,"apollo"
"py_sklearn_kdtree",21.137,0.046,4.201,0,28894.6508200247,0,1208592,3,1,8,1750795012,"apollo"
"r_genieclust_kdtree",0.774999999999999,0.00600000000000001,0.269,0,28894.6508200247,0,1208592,3,1,8,1750795019,"apollo"
"pico_tree",3.57,0.004,0.656999999999998,0,28894.6508200247,0,1208592,3,1,8,1750795019,"apollo"
"py_genieclust_kdtree",0.826999999999998,0,0.266999999999999,0,28894.6508200247,0,1208592,3,1,8,1750795019,"apollo"
"py_pykdtree",4.808,0.013,0.838000000000001,0,28894.6508200247,0,1208592,3,1,8,1750795019,"apollo"
"py_sklearn_kdtree",21.922,0.026,4.238,0,28894.6508200247,0,1208592,3,1,8,1750795019,"apollo"
"r_genieclust_kdtree",0.787999999999997,0.012,0.268999999999998,0,28894.6508200247,0,1208592,3,1,8,1750795025,"apollo"
"pico_tree",3.515,0.004,0.651,0,28894.6508200247,0,1208592,3,1,8,1750795025,"apollo"
"py_genieclust_kdtree",0.803000000000011,0,0.261999999999997,0,28894.6508200247,0,1208592,3,1,8,1750795025,"apollo"
"py_pykdtree",4.807,0.00900000000000001,0.843,0,28894.6508200247,0,1208592,3,1,8,1750795025,"apollo"
"py_sklearn_kdtree",21.196,0.00700000000000001,4.178,0,28894.6508200247,0,1208592,3,1,8,1750795025,"apollo"
"r_genieclust_kdtree",2.15300000000001,0.032,0.548000000000002,0,533296.876458416,0,1208592,3,10,8,1750795039,"apollo"
"pico_tree",9.11200000000001,0.031,1.55,0,533296.876458416,0,1208592,3,10,8,1750795039,"apollo"
"py_genieclust_kdtree",2.30000000000001,0.184,0.752000000000002,0,533296.876458416,0,1208592,3,10,8,1750795039,"apollo"
"py_pykdtree",12.331,0.088,2.178,0,533296.876458416,0,1208592,3,10,8,1750795039,"apollo"
"py_sklearn_kdtree",40.252,0.153,7.572,0,533296.876458416,0,1208592,3,10,8,1750795039,"apollo"
"r_genieclust_kdtree",2.14500000000001,0.024,0.548999999999999,0,533296.876458416,0,1208592,3,10,8,1750795052,"apollo"
"pico_tree",9.13,0.028,1.48999999999999,0,533296.876458416,0,1208592,3,10,8,1750795052,"apollo"
"py_genieclust_kdtree",2.24900000000002,0.177,0.682000000000002,0,533296.876458416,0,1208592,3,10,8,1750795052,"apollo"
"py_pykdtree",12.314,0.0830000000000002,2.186,0,533296.876458416,0,1208592,3,10,8,1750795052,"apollo"
"py_sklearn_kdtree",40.352,0.0859999999999999,7.564,0,533296.876458416,0,1208592,3,10,8,1750795052,"apollo"
"r_genieclust_kdtree",2.13499999999999,0.0249999999999999,0.545999999999999,0,533296.876458416,0,1208592,3,10,8,1750795066,"apollo"
"pico_tree",9.08100000000002,0.028,1.496,0,533296.876458416,0,1208592,3,10,8,1750795066,"apollo"
"py_genieclust_kdtree",2.24699999999999,0.188,0.688000000000002,0,533296.876458416,0,1208592,3,10,8,1750795066,"apollo"
"py_pykdtree",12.322,0.106,2.19,0,533296.876458416,0,1208592,3,10,8,1750795066,"apollo"
"py_sklearn_kdtree",45.393,0.085,8.42400000000001,0,533296.876458416,0,1208592,3,10,8,1750795066,"apollo"
"r_genieclust_kdtree",0.569,0.00600000000000001,0.574999999999999,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"pico_tree",1.869,0.004,1.872,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"py_genieclust_kdtree",0.588,0,0.587999999999999,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"py_pykdtree",2.288,0.00800000000000001,2.296,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"py_sklearn_kdtree",5.362,0.00800000000000001,5.37,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"r_dbscan",4.176,0,4.175,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"r_mlpack_kdtree_single",1.493,0.00999999999999998,1.503,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"r_mlpack_kdtree_dual",1.445,0.00600000000000001,1.45,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"r_nabor",2.098,0.012,2.11,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"r_rann_kdtree",4.258,0.033,4.29,0,28894.6508200247,0,1208592,3,1,1,1750795128,"apollo"
"r_genieclust_kdtree",0.571000000000002,0.001,0.571000000000005,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"pico_tree",1.878,0,1.879,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"py_genieclust_kdtree",0.588999999999999,0.000999999999999973,0.589999999999996,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"py_pykdtree",2.264,0,2.264,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"py_sklearn_kdtree",5.299,0.001,5.303,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_dbscan",4.183,0.001,4.183,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_mlpack_kdtree_single",1.494,0.012,1.506,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_mlpack_kdtree_dual",1.45,0.00700000000000001,1.456,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_nabor",2.093,0.016,2.108,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_rann_kdtree",4.282,0.028,4.309,0,28894.6508200247,0,1208592,3,1,1,1750795154,"apollo"
"r_genieclust_kdtree",0.57,0,0.568999999999996,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"pico_tree",1.874,0,1.873,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"py_genieclust_kdtree",0.587999999999994,0,0.586999999999996,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"py_pykdtree",2.27,0.001,2.27,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"py_sklearn_kdtree",5.304,0,5.303,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_dbscan",4.17400000000001,0,4.173,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_mlpack_kdtree_single",1.503,0,1.503,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_mlpack_kdtree_dual",1.447,0.012,1.459,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_nabor",2.10299999999999,0.011,2.114,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_rann_kdtree",4.298,0.032,4.33,0,28894.6508200247,0,1208592,3,1,1,1750795179,"apollo"
"r_genieclust_kdtree",1.538,0.001,1.538,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"pico_tree",4.23999999999999,0.016,4.254,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"py_genieclust_kdtree",1.72499999999999,0.041,1.765,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"py_pykdtree",5.711,0.039,5.748,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"py_sklearn_kdtree",10.695,0.061,10.755,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_dbscan",9.36200000000001,0.017,9.378,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_mlpack_kdtree_single",3.79300000000001,0.084,3.87700000000001,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_mlpack_kdtree_dual",3.501,0.111,3.61199999999999,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_nabor",5.11199999999999,0.051,5.16199999999999,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_rann_kdtree",10.894,0.0639999999999999,10.957,0,533296.876458416,0,1208592,3,10,1,1750795237,"apollo"
"r_genieclust_kdtree",1.57599999999999,0.024,1.59999999999999,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"pico_tree",4.25199999999998,0.0329999999999999,4.285,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"py_genieclust_kdtree",1.66200000000001,0.069,1.73099999999999,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"py_pykdtree",6.636,0.0760000000000001,6.71200000000002,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
"py_sklearn_kdtree",11.941,0.12,12.06,0,533296.876458416,0,1208592,3,10,1,1750795299,"apollo"
